word,prefix
hmghrin,FALSE
nmibrdh,TRUE
uhvja,TRUE
kla,FALSE
shbtt,TRUE
asalmi,FALSE
untvin,TRUE
anklisi,TRUE
hvl,FALSE
ashghst,FALSE
hrmzgan,FALSE
alazh,FALSE
tfrjgah,TRUE
galh,FALSE
jdidnd,FALSE
drshaii,FALSE
bfhm,TRUE
khvazh,TRUE
amkansh,FALSE
azkarandakhtn,FALSE
mihnh,TRUE
zdansh,FALSE
vhsti,FALSE
mirhmai,FALSE
malvli,FALSE
tvtstan,TRUE
alghrz,TRUE
bvgati,TRUE
ahrgh,FALSE
kachv,FALSE
bilih,FALSE
gvtard,TRUE
shsam,TRUE
chvnam,TRUE
shnasnamhha,TRUE
maik,FALSE
lia,FALSE
amdh,FALSE
brzdi,FALSE
majrajvi,FALSE
umvzsh,FALSE
msjdkh,TRUE
faskt,TRUE
link,FALSE
ghvja,TRUE
alghivm,FALSE
sinvr,TRUE
khftgan,FALSE
hvrain,FALSE
srkshid,TRUE
vrdiha,FALSE
fivn,FALSE
drandazi,TRUE
gvdh,FALSE
ghalbu,TRUE
hmlvn,TRUE
zaimanhai,TRUE
tvzla,TRUE
drbishh,TRUE
umas,FALSE
ulbinv,TRUE
pnahndh,TRUE
almhl,TRUE
bhkish,TRUE
skhtih,TRUE
mhtrmtr,TRUE
arvskha,TRUE
rvishi,FALSE
khvrvsh,TRUE
astkhvanchh,TRUE
klist,FALSE
kvhpaihhai,TRUE
afrvziha,TRUE
khrgahi,TRUE
mhmandar,FALSE
blfarvaspasm,TRUE
frasi,FALSE
ivnkr,TRUE
akhtrshnas,FALSE
livnar,TRUE
asalti,FALSE
ndidh,FALSE
fialbdahh,FALSE
malghat,FALSE
vamvazhhha,TRUE
zhakvbs,TRUE
dvghlvha,TRUE
siark,TRUE
shtrkh,FALSE
khanhprvrd,TRUE
alnvrin,FALSE
shknar,FALSE
rvasia,FALSE
tanhhai,FALSE
nardanh,TRUE
binta,TRUE
tzkar,FALSE
ailchian,TRUE
hidn,FALSE
barzd,TRUE